Rank,Author,Title,Citations,Year,Journal,Source
20,"D Zhu, L Shao, M Yu, R Cheng, B Desiatov…",Integrated photonics on thin-film lithium niobate,624,2021,"Advances in Optics …, ",https://opg.optica.org/abstract.cfm?uri=aop-13-2-242
4,"Y Jia, L Wang, F Chen",Ion-cut lithium niobate on insulator technology: recent advances and perspectives,169,2021,"Applied Physics Reviews, ",https://pubs.aip.org/aip/apr/article-abstract/8/1/011307/238723
21,"A Rao, S Fathpour",Compact lithium niobate electrooptic modulators,163,2017,"IEEE Journal of Selected Topics in …, ",https://ieeexplore.ieee.org/abstract/document/8141858/
41,"K Luke, P Kharel, C Reimer, L He, M Loncar…",Wafer-scale low-loss lithium niobate photonic integrated circuits,123,2020,"Optics …, ",https://opg.optica.org/abstract.cfm?uri=oe-28-17-24452
18,"G Chen, N Li, JD Ng, HL Lin, Y Zhou, YH Fu…",Advances in lithium niobate photonics: development status and perspectives,95,2022,"Advanced …, ",https://www.spiedigitallibrary.org/journals/advanced-photonics/volume-4/issue-3/034003/Advances-in-lithium-niobate-photonics-development-status-and-perspectives/10.1117/1.AP.4.3.034003.short
16,"M Mahmoud, L Cai, C Bottenfield…",Lithium niobate electro-optic racetrack modulator etched in Y-cut LNOI platform,69,2018,"IEEE Photonics …, ",https://ieeexplore.ieee.org/abstract/document/8275483/
101,A Boudrioua,Photonic waveguides: Theory and applications,62,2013,,https://books.google.com/books?hl=en&lr=&id=YM_dXxck5vgC&oi=fnd&pg=PP7&dq=%22grating%2Bcoupler%22%2B%22uniform%22%2B%22lithium%2Bniobate%22%2B%22x-cut%22&ots=r2AaVdvTMs&sig=XfBHtTrvQI2uzZNirp4BhGeFv4k
28,"MA Baghban, J Schollhammer, C Errando-Herranz…",Bragg gratings in thin-film LiNbO3 waveguides,61,2017,"Optics …, ",https://opg.optica.org/abstract.cfm?uri=oe-25-26-32323
11,"J Jian, P Xu, H Chen, M He, Z Wu, L Zhou, L Liu…",High-efficiency hybrid amorphous silicon grating couplers for sub-micron-sized lithium niobate waveguides,56,2018,"Optics express, ",https://opg.optica.org/abstract.cfm?uri=oe-26-23-29651
105,WSC Chang,Fundamentals of guided-wave optoelectronic devices,56,2010,,https://books.google.com/books?hl=en&lr=&id=EWKIg5D5MccC&oi=fnd&pg=PR9&dq=%22grating%2Bcoupler%22%2B%22uniform%22%2B%22lithium%2Bniobate%22%2B%22x-cut%22&ots=OtF40RUkSe&sig=ts6bb9SBcDjSbqcjLvo0rfg7lkA
